,dimension_1,dimension_2,dimension_3
item_4918,-0.35063,1.84092,4.79418
item_4919,2.94207,-0.0725005,5.11428
item_4920,0.174715,0.0893951,-5.5876
item_4921,-6.30277,-3.72562,2.41484
item_4922,0.940333,-1.36357,2.25276
item_4923,-5.55325,0.600812,-2.74925
item_4924,-4.86304,2.20742,-1.24193
item_4925,-6.99435,-3.37432,2.1789
item_4926,3.05277,2.36817,-4.59673
item_4927,4.59769,-1.72896,5.62564
item_4928,-0.43703,2.63275,1.94233
item_4929,2.63605,-0.898144,-4.67022
item_4930,1.08167,0.0976756,-5.19226
item_4931,-4.93326,0.972236,-2.10101
item_4932,3.36888,-1.08021,5.69565
item_4933,1.58055,1.68487,-4.39531
item_4934,-3.61323,-5.47425,1.12857
item_4935,-5.09748,0.834161,-2.13705
item_4936,0.399245,1.55448,4.68461
item_4937,0.955371,-1.67109,-4.23582
item_4938,-0.487438,1.8815,4.67015
item_4939,2.83081,3.28867,3.17912
item_4940,0.496005,1.34044,-5.21054
item_4941,0.747028,-0.980094,1.95555
item_4942,1.14395,-1.53949,1.9912
item_4943,-6.54043,-3.10519,2.47816
item_4944,-4.09128,2.22643,-0.521545
item_4945,-7.31239,-3.54343,1.87124
item_4946,1.7124,2.5451,-4.87846
item_4947,2.62796,0.0322336,-3.34034
item_4948,-0.743815,2.45831,2.96887
item_4949,-0.713034,-0.149233,4.34684
item_4950,1.17659,0.975046,-5.24814
item_4951,-7.34751,-3.39642,2.21547
item_4952,4.11595,-0.364103,5.35288
item_4953,0.716332,-2.58487,-5.50228
item_4954,-4.84107,-4.65126,1.78217
item_4955,0.48266,-2.13284,-4.88205
item_4956,2.81016,-0.424996,5.18389
item_4957,-1.17466,0.770348,4.68132
item_4958,-0.61788,1.83904,4.60035
item_4959,-6.60315,-2.8775,2.32225
item_4960,0.525119,0.351457,-5.27947
item_4961,-7.38792,-3.3519,2.07693
item_4962,1.11646,-1.45854,2.03509
item_4963,2.72549,-0.90855,5.43182
item_4964,-4.83382,1.49272,-1.10481
item_4965,2.27696,-1.32651,-4.36257
item_4966,3.03824,1.62379,-4.79578
item_4967,-0.887825,1.5603,4.98063
item_4968,-0.48736,2.99072,2.3049
item_4969,-0.832595,1.46073,4.57168
item_4970,-0.259807,0.0575698,3.05027
item_4971,-6.6034,-2.57008,2.56022
item_4972,-6.97232,-3.75314,2.25601
item_4973,-5.50729,-4.23936,2.20591
item_4974,0.823588,0.303178,-4.34001
item_4975,-0.867154,0.238918,3.1744
item_4976,0.859837,0.137715,-4.48927
item_4977,-6.79941,-3.02798,2.52035
item_4978,2.66079,1.05321,-4.30639
item_4979,-6.25249,-3.53635,1.95552
item_4980,-4.80194,-4.45296,1.02658
item_4981,-4.04244,1.88448,-0.824222
item_4982,3.27334,-0.526993,5.37725
item_4983,-1.33524,2.27438,3.14718
item_4984,1.11279,0.634958,-5.13276
item_4985,3.46557,1.50743,-4.78708
item_4986,4.60168,-0.921754,5.57663
item_4987,-6.55071,-2.51075,2.55614
item_4988,0.238669,1.59154,4.59145
item_4989,-0.952124,1.83383,4.89901
item_4990,1.17941,1.01306,-5.28803
item_4991,-5.09387,1.56472,-1.76863
item_4992,2.87315,1.40566,-4.66391
item_4993,-1.22248,1.96658,2.40958
item_4994,-4.55904,-4.69354,1.06676
item_4995,4.65274,-1.81545,5.63177
item_4996,2.36945,1.84052,-4.76961
item_4997,-0.467735,1.95644,4.72138
item_4998,2.47376,2.95452,2.90473
item_4999,-6.20433,-3.455,1.93352
item_5000,2.13645,3.28833,1.9551
item_5001,1.84088,-1.94307,-4.80531
item_5002,-0.15848,2.0817,4.44077
item_5003,0.588738,-0.151553,-5.29377
item_5004,-4.35041,1.59974,-1.50679
item_5005,-5.48651,-4.23121,2.1777
item_5006,-0.680034,2.4748,2.85164
item_5007,-4.99857,-4.45289,1.89587
item_5008,4.26314,-0.758096,5.38741
item_5009,1.18805,-1.53722,-4.40564
item_5010,-0.669242,2.15317,3.26048
item_5011,3.43462,-1.5928,5.69599
item_5012,-0.555589,1.95072,4.74589
item_5013,-7.42543,-3.4328,2.15101
item_5014,2.73727,-0.373198,5.17444
item_5015,2.88383,0.140608,-3.42834
item_5016,3.98373,-0.574064,5.34664
item_5017,3.07113,3.27893,2.28417
item_5018,1.13743,-0.276128,-5.10193
item_5019,-5.06147,1.6778,-1.38612
item_5020,4.49049,-1.47304,5.18421
item_5021,-6.62058,-3.29466,1.64048
item_5022,-4.02151,1.60545,-1.2464
item_5023,2.68831,0.122304,-3.36251
item_5024,-4.84313,-4.61236,1.82883
item_5025,1.52249,-1.61356,-4.48616
item_5026,2.60187,1.2513,-4.17572
item_5027,-4.22204,1.4251,-1.52696
item_5028,0.707789,-1.07477,1.8915
item_5029,-0.0464518,0.194977,3.87247
item_5030,-0.495195,2.1458,3.39539
item_5031,-5.48367,-3.74946,2.05532
item_5032,-0.259301,2.17282,4.72565
item_5033,0.979442,-1.82276,-5.15074
item_5034,1.15778,1.38589,-4.74463
item_5035,-0.479137,2.92115,2.00119
item_5036,2.90939,1.49733,-4.79379
item_5037,-0.497211,1.49578,5.05222
item_5038,-3.91037,2.25855,-0.472634
item_5039,1.08488,0.463414,-4.00931
item_5040,-4.38282,2.42405,-0.88773
item_5041,-5.10197,1.02576,-1.66849
item_5042,-0.184483,2.03229,4.48017
item_5043,-4.01611,1.41525,-0.698215
item_5044,-0.791935,2.39255,2.80832
item_5045,1.48651,1.68614,-5.00482
item_5046,1.08651,-0.266521,-5.19752
item_5047,0.307506,-1.35811,-4.93441
item_5048,0.46333,0.642183,-5.0808
item_5049,3.20336,-0.953065,5.64687
item_5050,3.03707,0.410326,-4.72384
item_5051,-1.51156,1.91205,3.01507
item_5052,-3.60392,-5.38498,1.00067
item_5053,4.64956,-1.72264,5.30916
item_5054,4.39506,-0.681144,5.55043
item_5055,-6.71007,-2.77366,1.92116
item_5056,-0.672511,2.33249,2.93399
item_5057,-0.147175,-0.364031,2.98841
item_5058,2.78118,1.44417,-4.69767
item_5059,-7.4056,-3.45321,2.00613
item_5060,2.65865,2.18684,-4.80886
item_5061,-0.609321,-0.00903213,3.26474
item_5062,1.15754,-1.54917,1.76246
item_5063,1.40282,-2.47573,-4.9442
item_5064,1.47247,1.18012,-5.20049
item_5065,0.274502,-1.63282,-5.46031
item_5066,3.42411,3.31995,3.02108
item_5067,-0.592599,0.15577,3.6855
item_5068,0.0536011,2.03665,4.32506
item_5069,2.97168,-0.615748,-4.89783
item_5070,0.605432,1.35239,-5.2928
item_5071,-4.53063,1.57722,-1.59034
item_5072,-5.13788,1.66757,-1.45325
item_5073,4.54716,-0.581764,4.76645
item_5074,-3.83095,-5.17361,0.777484
item_5075,4.48145,-1.34141,5.70553
item_5076,-3.5523,-5.48797,1.05703
item_5077,1.75544,3.48431,1.85364
item_5078,0.430307,0.388751,-5.51597
item_5079,-1.32693,0.906553,3.34287
item_5080,1.02174,-1.18859,2.6483
item_5081,-0.586964,0.854128,5.07775
item_5082,1.11764,-1.53339,2.06368
item_5083,2.24355,-0.28683,5.05447
item_5084,4.52209,-0.491121,5.47222
item_5085,-4.94893,0.522104,-1.92469
item_5086,0.270441,0.41033,-5.6328
item_5087,-0.488507,1.9443,4.92048
item_5088,-0.740706,2.55035,2.84347
item_5089,-1.81863,0.940067,4.30174
item_5090,2.83893,1.29676,-4.79136
item_5091,-7.3176,-3.66664,1.8786
item_5092,0.396524,0.270112,-5.5904
item_5093,-1.11443,0.624983,4.93574
item_5094,1.11953,-0.179016,-5.14835
item_5095,1.96169,3.60832,1.84484
item_5096,2.77312,3.15362,3.21596
item_5097,4.16086,-0.737033,5.44177
item_5098,-0.186878,2.06904,4.41324
item_5099,-3.82744,1.71666,-0.558691
item_5100,-4.78291,1.94829,-1.14162
item_5101,3.51193,0.231219,-4.11398
item_5102,0.442515,0.17157,-5.55682
item_5103,-1.38037,1.23553,5.00272
item_5104,2.75546,-0.302633,5.16934
item_5105,2.37143,2.89184,2.63982
item_5106,0.80363,1.71722,-5.13872
item_5107,0.917033,-1.88783,-5.16328
item_5108,-3.23386,-5.70942,1.18783
item_5109,4.39281,-1.11766,5.68719
item_5110,0.936178,-1.29272,1.97812
item_5111,-3.83973,1.68596,-0.852607
item_5112,0.417132,-0.319397,-5.33094
item_5113,-1.63029,1.69925,3.07263
item_5114,2.71509,-0.157816,5.11012
item_5115,-4.74596,-4.37021,1.18822
item_5116,4.49586,-0.732443,5.38984
item_5117,-0.618721,3.09908,2.03152
item_5118,0.234353,0.397579,-5.60341
item_5119,0.783022,-0.272803,-4.60644
item_5120,-0.634043,2.96586,2.19411
item_5121,3.77099,-1.08187,5.68306
item_5122,-4.59184,2.18979,-0.869932
item_5123,0.177946,0.669333,-5.06711
item_5124,-4.65159,-4.92402,1.59034
item_5125,-3.48354,1.37889,-1.04041
item_5126,1.17931,-0.0343929,-4.89433
item_5127,-5.49619,0.808799,-1.99949
item_5128,0.110848,2.29087,4.51904
item_5129,-7.1303,-3.53085,2.28028
item_5130,0.320658,0.943455,4.81114
item_5131,1.17842,-2.38062,-4.77217
item_5132,4.67533,-1.08236,5.58071
item_5133,-2.91285,-5.92436,0.915599
item_5134,4.40312,-0.405375,4.83394
item_5135,0.740955,-1.86159,-4.6268
item_5136,2.64332,2.94299,2.79899
item_5137,-1.08929,1.49105,4.6223
item_5138,1.07219,0.148066,-5.28225
item_5139,0.975642,-2.56295,-5.19189
item_5140,-0.63819,1.04706,4.41377
item_5141,-0.803334,1.95781,3.38119
item_5142,-4.92586,2.08736,-1.29924
item_5143,1.318,0.562357,-4.15203
item_5144,-0.118918,1.83136,5.04434
item_5145,3.34766,-1.18207,5.69847
item_5146,-5.23738,1.40504,-1.67912
item_5147,3.39686,0.708353,-4.40844
item_5148,4.45734,-0.564979,5.08598
item_5149,1.37597,0.507603,-4.17095
item_5150,-3.16156,-5.60774,1.1218
item_5151,0.811521,0.0898593,-4.36579
item_5152,3.49381,3.37246,2.78859
item_5153,-0.0752977,0.643175,4.84496
item_5154,-0.32262,0.635863,4.92376
item_5155,4.42996,-0.45478,4.86074
item_5156,0.111036,1.38082,-4.5949
item_5157,1.80142,3.18248,1.78155
item_5158,1.07917,-1.43537,2.32829
item_5159,2.28275,1.71177,-4.98856
item_5160,-5.20567,1.60718,-1.56014
item_5161,-0.770781,1.48537,5.02954
item_5162,3.20541,2.28014,-4.5394
item_5163,2.73465,2.53012,2.76936
item_5164,-0.16404,2.16512,4.00852
item_5165,-0.180368,-0.677806,2.31544
item_5166,1.55361,1.88921,-4.95664
item_5167,3.44995,3.27954,2.85334
item_5168,4.41339,-0.626826,5.26905
item_5169,-3.19651,-5.42035,0.710304
item_5170,-2.34183,-5.96781,0.654436
item_5171,-0.621501,2.22977,3.16698
item_5172,3.51648,3.68528,2.66884
item_5173,1.38712,-1.00899,-4.58413
item_5174,0.456735,1.4761,4.75741
item_5175,1.96813,0.144067,-4.32282
item_5176,0.106122,1.39661,-4.6094
item_5177,-5.38526,-4.28136,2.08747
item_5178,1.05456,-1.43578,2.21686
item_5179,3.1251,-0.209292,-3.86148
item_5180,-5.27247,1.59431,-1.6896
item_5181,0.341478,0.370933,-5.5445
item_5182,3.29831,1.58316,-4.80274
item_5183,2.58778,-1.1029,-4.64313
item_5184,-0.573986,3.16126,2.0591
item_5185,-0.361544,1.30246,5.02816
item_5186,1.22562,1.47998,-4.72805
item_5187,-1.60047,0.561388,4.64767
item_5188,4.41949,-0.450784,5.47234
item_5189,0.291858,-1.25405,-4.05427
item_5190,-2.66408,-5.87619,0.702591
item_5191,-0.891808,1.19034,4.93543
item_5192,3.42039,3.57697,2.89876
item_5193,3.18533,-1.52561,5.63109
item_5194,-0.0119742,0.759707,4.85891
item_5195,4.64375,-1.21163,4.76806
item_5196,0.249779,1.27167,-4.68674
item_5197,4.58502,-1.89179,5.56006
item_5198,3.18315,2.32095,-4.48526
item_5199,0.770836,-2.37524,-5.47731
item_5200,-0.77942,2.52796,2.95866
item_5201,-1.30865,2.35448,2.45809
item_5202,1.48021,1.63757,-4.32938
item_5203,4.73629,-1.7745,5.38222
item_5204,4.27301,-0.469919,5.17498
item_5205,-5.38663,-3.82957,1.28678
item_5206,-1.0885,1.63909,2.57722
item_5207,2.75182,1.57387,-4.02447
item_5208,0.0721958,1.99879,4.50305
item_5209,1.52705,-1.41063,-4.3642
item_5210,1.28898,1.1375,-4.66579
item_5211,-0.229458,0.0722918,3.04
item_5212,0.939499,-1.27706,2.42933
item_5213,0.851766,0.351873,-4.74198
item_5214,-5.07505,1.51334,-1.37979
item_5215,2.75183,0.161765,-3.38182
item_5216,-0.471619,2.89533,2.3831
item_5217,-4.31272,-4.00034,1.51899
item_5218,0.123821,1.36039,-4.65703
item_5219,-4.55159,1.09397,-1.14071
item_5220,1.40392,1.22909,-4.81104
item_5221,-1.1619,1.99508,2.42715
item_5222,-2.80325,-5.81045,0.765254
item_5223,-5.56981,0.500958,-2.63642
item_5224,3.27011,1.54477,-4.88896
item_5225,1.22349,0.647108,-3.94821
item_5226,-3.32411,-5.32122,0.639889
item_5227,-5.03025,1.32859,-1.8054
item_5228,3.53977,3.47293,2.89822
item_5229,4.50926,-1.72137,5.30942
item_5230,1.54294,2.0404,-4.88828
item_5231,-4.96116,0.70652,-1.99856
item_5232,-4.85643,2.29588,-1.23298
item_5233,1.82633,3.47008,1.9719
item_5234,1.54095,2.33263,-4.80322
item_5235,-6.42737,-3.58336,2.43677
item_5236,-3.53588,-5.58906,1.2957
item_5237,1.67052,3.0537,1.96463
item_5238,-3.53386,-5.18979,0.921801
item_5239,-0.862718,1.46605,4.97268
item_5240,-4.1714,-4.9812,1.27125
item_5241,-0.192505,-0.0194153,4.30147
item_5242,3.49116,3.4219,2.90011
item_5243,2.85241,0.398166,-3.55743
item_5244,-0.657558,3.09418,2.01508
item_5245,3.6249,-1.48744,5.72296
item_5246,-3.34915,-5.17423,0.951932
item_5247,4.05443,-1.66106,5.37834
item_5248,3.52857,3.44991,2.76649
item_5249,-1.36585,1.41596,3.16432
item_5250,3.11446,0.0498698,5.13443
item_5251,1.75096,3.57962,2.00075
item_5252,3.25948,2.19018,-4.68079
item_5253,-1.39649,1.7153,4.96756
item_5254,2.79158,2.07559,-4.86862
item_5255,0.438774,-0.991644,1.79092
item_5256,1.02758,-1.45261,2.26058
item_5257,-6.62704,-2.65906,2.54675
item_5258,-0.907675,3.08368,2.45912
item_5259,3.48363,3.19425,2.95594
item_5260,3.60412,3.51406,2.92513
item_5261,-1.05698,0.230455,3.36727
item_5262,1.31391,1.2077,-4.88712
item_5263,-4.8066,-3.9258,1.61426
item_5264,-0.532214,3.0813,2.04106
item_5265,2.65792,-0.279153,-4.0967
item_5266,0.159156,1.3522,-4.63782
item_5267,3.50569,-1.07808,5.50517
item_5268,-5.21304,1.72322,-1.78327
item_5269,4.56991,-1.86026,5.21531
item_5270,3.06884,1.71056,-4.44911
item_5271,-1.45169,1.61052,4.85923
item_5272,-3.35794,-5.7173,1.15412
item_5273,2.98244,-0.0462567,5.24091
item_5274,-5.29778,1.61282,-1.74989
item_5275,-4.2486,1.88325,-0.873132
item_5276,3.34435,-0.366819,5.2669
item_5277,1.04935,0.0648084,-4.25044
item_5278,-0.197728,1.18111,4.70021
item_5279,0.371503,-1.27206,-4.15917
item_5280,-5.02635,1.85937,-1.49503
item_5281,2.53005,0.83994,-4.50934
item_5282,-0.813732,2.97225,2.37443
item_5283,1.55789,-2.164,-4.9263
item_5284,2.94909,1.4985,-4.97848
item_5285,-1.46414,1.49981,4.89307
item_5286,3.5356,-0.31336,5.42492
item_5287,3.33234,-1.29784,5.73982
item_5288,0.0929981,1.39161,-4.63862
item_5289,3.0779,-0.919752,5.68334
item_5290,3.5851,3.51631,2.90932
item_5291,-3.87863,2.16211,-0.461383
item_5292,2.91241,1.91947,-4.12897
item_5293,0.101415,-0.428759,2.39338
item_5294,0.113024,1.40737,-4.64933
item_5295,-3.76415,1.7998,-0.508224
item_5296,0.116022,1.40178,-4.6017
item_5297,-1.57622,1.45033,2.95728
item_5298,3.42387,3.60818,2.90155
item_5299,0.453093,-2.17088,-5.44012
item_5300,-0.877478,2.91633,2.40796
item_5301,3.14644,-0.19316,-3.89309
item_5302,-2.53809,-5.84518,0.645009
item_5303,3.49168,0.0551596,-4.34045
item_5304,1.00143,-1.34759,2.35663
item_5305,-6.92201,-2.84738,2.41218
item_5306,-2.22263,-5.93208,0.598977
item_5307,1.47655,2.97164,1.74977
item_5308,3.32591,3.65887,1.91232
item_5309,1.48168,-1.43336,-4.54188
item_5310,1.00096,-1.45151,2.23974
item_5311,-4.15381,1.47804,-0.847829
item_5312,-5.20001,1.5253,-1.54473
item_5313,3.07318,0.213591,-4.85453
item_5314,0.362758,1.32588,-4.71748
item_5315,2.16738,3.64975,2.2707
item_5316,0.583685,1.49212,4.50587
item_5317,1.33532,-2.51948,-5.14902
item_5318,3.57603,-0.752251,5.55208
item_5319,2.39025,3.22607,2.25162
item_5320,4.02146,-0.636459,5.49874
item_5321,1.39335,-2.49027,-5.03139
item_5322,4.24427,-1.46711,5.36236
item_5323,0.5844,-0.114002,-4.56856
item_5324,-0.166427,1.47568,4.416
item_5325,0.919369,-0.0746755,-4.58779
item_5326,3.4252,1.93566,-4.66394
item_5327,3.23919,0.27446,-3.72127
item_5328,3.27286,-0.107192,5.35919
item_5329,-0.545757,2.30565,4.65238
item_5330,-5.25376,1.66974,-1.68919
item_5331,3.46391,-0.648925,5.5661
item_5332,0.145525,1.30638,-4.67084
item_5333,2.35143,-0.624082,5.0775
item_5334,-0.906298,1.9953,3.28141
item_5335,-5.66876,0.39951,-2.79221
item_5336,-0.981645,1.94034,2.5786
item_5337,-6.46528,-3.117,2.42245
item_5338,-0.274057,1.16679,4.63868
item_5339,-1.18899,1.53867,2.58868
item_5340,1.33177,1.97745,-4.70231
item_5341,3.30587,-1.16282,5.32236
item_5342,1.42101,1.90812,-4.5512
item_5343,3.30723,-1.39715,5.71823
item_5344,-0.680943,2.93703,2.36519
item_5345,4.57464,-1.9959,5.52803
item_5346,3.50081,3.4099,2.817
item_5347,-1.21365,2.44239,2.39203
item_5348,3.0795,2.42912,-4.51493
item_5349,-0.83592,0.570915,4.06492
item_5350,3.13141,1.49547,-4.95102
item_5351,1.15653,-1.84389,-4.69156
item_5352,-2.53928,-5.74775,0.553864
item_5353,3.1354,-0.0175758,-3.78921
item_5354,4.45365,-0.641348,5.04185
item_5355,-1.62176,1.15451,4.54859
item_5356,-4.30076,-4.32836,1.567
item_5357,0.259282,0.179154,-4.94133
item_5358,2.64005,2.91637,2.68619
item_5359,-0.405568,0.951951,4.89335
item_5360,-0.739254,0.890974,4.79717
item_5361,-1.35472,1.32611,3.43809
item_5362,-0.0360065,0.866502,-4.88335
item_5363,1.287,-1.68683,-4.91859
item_5364,0.342191,-0.580792,2.90435
item_5365,-5.28847,0.998164,-2.3026
item_5366,-5.11041,1.06817,-2.15569
item_5367,0.399888,-1.90615,-4.97695
item_5368,3.41633,0.939952,-4.48933
item_5369,3.02444,0.0462153,5.17081
item_5370,-0.799485,2.50629,2.32357
item_5371,-1.37108,0.269507,3.82733
item_5372,1.4273,0.283367,-4.45636
item_5373,1.24738,-0.785648,-4.32571
item_5374,4.46404,-0.753643,5.0195
item_5375,-5.39448,1.16254,-1.89527
item_5376,-4.22958,-4.36415,1.46013
item_5377,-0.84216,1.71542,2.72331
item_5378,3.29164,3.38975,2.61637
item_5379,-0.163379,-0.688323,2.24702
item_5380,-0.574993,1.02432,4.69523
item_5381,2.54896,3.33253,1.72349
item_5382,0.280448,1.01497,-4.46678
item_5383,-0.259019,-0.575155,1.89249
item_5384,-0.117014,-0.369464,2.98504
item_5385,-5.73332,0.350492,-2.85024
item_5386,-5.03364,1.26017,-2.11401
item_5387,1.42803,-2.20192,-4.93438
item_5388,3.07761,-0.341063,-4.84017
item_5389,-1.43659,0.670281,4.74297
item_5390,-0.792327,2.95926,2.24293
item_5391,2.05668,1.66544,-3.71491
item_5392,1.44024,1.24671,-4.61033
item_5393,-0.42771,0.740099,5.10569
item_5394,4.63033,-0.720213,4.83648
item_5395,-1.55755,1.41118,2.89929
item_5396,-3.90211,-4.94514,1.43383
item_5397,-4.54226,-4.31455,1.1188
item_5398,3.41332,3.30208,3.02844
item_5399,4.29746,-1.62393,5.63976
item_5400,-0.963374,0.810309,4.59392
item_5401,1.45181,3.01693,1.89758
item_5402,0.11326,1.11151,-5.34347
item_5403,0.472859,-1.51404,-5.05364
item_5404,0.78539,-1.09006,2.62564
item_5405,1.02556,0.415581,-4.08428
item_5406,-4.61707,1.7488,-1.53397
item_5407,0.247586,-1.51788,-5.27583
item_5408,3.33973,0.881645,-4.69492
item_5409,-4.12974,-4.31614,1.25752
item_5410,-0.430169,2.74346,1.9119
item_5411,0.33196,-1.26867,-4.37921
item_5412,1.3672,1.49624,-4.76428
item_5413,-0.942678,1.08253,5.10773
item_5414,-4.64882,1.74177,-1.61445
item_5415,0.499374,-0.978843,1.88096
item_5416,2.33664,2.87407,2.36316
item_5417,2.46929,-1.28094,-4.51528
item_5418,0.154185,-0.491142,2.56504
item_5419,-1.04524,1.02755,3.49671
item_5420,-4.43259,2.07927,-0.952509
item_5421,2.83539,3.16878,2.06157
item_5422,2.46175,3.12406,2.39265
item_5423,2.21087,-0.22663,-3.11113
item_5424,0.0389434,0.062211,3.84442
item_5425,-0.522852,0.210333,4.04573
item_5426,-2.5822,-5.69913,0.54771
item_5427,1.1845,0.395477,-4.06002
item_5428,3.13325,2.33165,-4.37451
item_5429,-4.0112,-5.18752,1.38685
item_5430,-2.99757,-5.37483,0.679074
item_5431,-0.851139,0.425979,4.19472
item_5432,-0.858498,3.17936,2.41817
item_5433,-1.32919,1.20196,4.54839
item_5434,-0.235923,1.8174,4.96628
item_5435,-1.54925,1.37413,4.87079
item_5436,-0.714026,2.89167,2.0842
item_5437,1.6857,3.40732,1.78902
item_5438,3.24763,0.411951,-4.67918
item_5439,2.16912,3.54753,1.52536
item_5440,-3.67232,-4.97925,1.35398
item_5441,-0.199265,-0.636183,1.84964
item_5442,3.23216,1.27709,-4.09677
item_5443,-1.15411,0.150401,4.87235
item_5444,-3.57366,-4.95742,1.19549
item_5445,0.91834,-1.71358,-4.96606
item_5446,0.306987,1.24298,-4.61374
item_5447,3.02718,1.40342,-4.74995
item_5448,3.1491,1.988,-4.20288
item_5449,2.61467,0.203954,-3.3035
item_5450,2.77037,3.39183,2.96413
item_5451,0.593797,0.315515,-4.25445
item_5452,-4.75452,2.20862,-1.23343
item_5453,-0.738051,-0.0781893,3.99604
item_5454,-0.340939,-0.287822,2.81594
item_5455,1.49302,2.33495,-4.85504
item_5456,-0.687984,1.01771,4.59373
item_5457,-0.979768,0.251723,3.60503
item_5458,1.28642,0.65385,-4.75645
item_5459,-1.2788,1.43937,4.97231
item_5460,1.11953,0.342212,-4.58667
item_5461,-1.03528,1.7056,2.47823
item_5462,4.20075,-0.644698,5.20244
item_5463,3.07267,-0.843864,5.6052
item_5464,-1.03637,2.83083,2.33863
item_5465,3.13847,-1.13559,5.72107
item_5466,3.32327,0.813968,-4.05524
item_5467,-3.80651,2.0707,-0.479057
item_5468,-0.477291,0.559255,4.98083
item_5469,3.31244,-0.975172,5.51955
item_5470,4.1531,-0.641375,5.16744
item_5471,4.77442,-1.41325,4.80883
item_5472,-0.694784,1.28477,4.93729
item_5473,2.96805,2.36301,-4.2575
item_5474,3.37486,0.962258,-4.62132
item_5475,1.49347,3.20791,2.05779
item_5476,4.16616,-0.543226,5.13089
item_5477,-1.15336,2.89028,2.3367
item_5478,-3.32879,-5.04987,0.976766
item_5479,0.579372,-1.4084,-4.91288
item_5480,-3.59322,-5.55948,1.33071
item_5481,-0.532996,1.87501,4.63458
item_5482,2.8348,3.08146,3.12054
item_5483,0.48966,-1.37893,-4.19136
item_5484,-4.1184,-4.98375,1.2334
item_5485,-7.31548,-3.63327,1.86031
item_5486,-4.13815,2.07145,-0.766947
item_5487,-4.34495,1.8354,-0.893884
item_5488,3.36584,-0.245388,5.38084
item_5489,3.25875,-0.54191,5.29077
item_5490,0.402676,-1.004,2.4175
item_5491,0.586185,-1.81759,-4.54552
item_5492,-0.364999,1.69937,4.90177
item_5493,0.792428,-1.88557,-4.51681
item_5494,-0.805774,1.5419,4.77926
item_5495,-4.56616,-4.43546,1.62816
item_5496,-4.04775,1.99736,-0.752168
item_5497,2.03937,-2.00796,-4.91795
item_5498,-0.777447,1.52595,4.99393
item_5499,2.94327,-0.73696,5.46179
item_5500,1.01308,-1.20734,2.63916
item_5501,-7.18464,-3.57324,1.97435
item_5502,1.14434,0.475528,-4.96845
item_5503,3.81263,-1.92548,5.53996
item_5504,1.22762,0.950507,-5.19722
item_5505,2.93002,1.9236,-4.09788
item_5506,4.45527,-0.56197,5.08074
item_5507,-0.439585,0.183736,4.23336
item_5508,-4.75788,-4.64519,1.81895
item_5509,2.16742,3.19611,2.17145
item_5510,3.27298,3.60591,2.74445
item_5511,-1.28199,1.41782,4.89352
item_5512,0.00430864,1.34681,4.80225
item_5513,4.45621,-1.76896,5.38123
item_5514,0.176383,0.898031,-4.82053
item_5515,4.44499,-1.20888,5.76572
item_5516,1.0392,-1.31233,2.39917
item_5517,-6.87447,-2.8478,2.44168
item_5518,-4.33069,2.32922,-0.774365
item_5519,1.04366,-1.63572,-4.26113
item_5520,3.01792,1.45578,-4.82521
item_5521,-7.35357,-3.53533,2.14051
item_5522,-0.436231,2.77003,2.75774
item_5523,1.08407,-1.82548,-4.67096
item_5524,1.53311,1.51463,-4.61488
item_5525,-5.23541,1.2454,-2.08464
item_5526,3.84165,-0.552103,5.50793
item_5527,-0.347182,0.1073,2.97346
item_5528,-3.37988,-5.07901,0.933282
item_5529,1.66016,3.04526,2.39603
item_5530,3.14415,3.68096,2.75921
item_5531,-6.22371,-3.47241,1.53378
item_5532,0.154154,1.46163,4.85663
item_5533,0.730692,-1.4905,-5.0131
item_5534,0.518006,0.759619,-5.31515
item_5535,-1.08701,1.84138,2.9254
item_5536,2.81729,1.6899,-4.87348
item_5537,-1.37276,0.0900779,3.83556
item_5538,-0.453754,2.36244,3.46165
item_5539,-0.827297,1.66342,4.14845
item_5540,1.48476,1.48793,-4.67495
item_5541,2.71582,-1.02872,-4.12687
item_5542,4.2223,-0.213284,5.17852
item_5543,-0.695798,0.458052,4.96357
item_5544,-3.23261,-5.76624,1.18687
item_5545,0.594946,-1.41229,-4.17711
item_5546,3.2996,3.66505,2.26892
item_5547,2.47864,-1.14134,-4.24796
item_5548,0.362592,1.50513,4.88229
item_5549,-0.725445,0.0854378,4.16002
item_5550,0.111488,1.25544,-5.16306
item_5551,-0.60763,0.144119,3.62286
item_5552,1.02973,-1.4113,2.28651
item_5553,-6.74505,-3.01915,1.76649
item_5554,4.27082,-0.26381,5.33235
item_5555,-0.394437,-0.295861,3.37855
item_5556,3.17227,2.19161,-4.45582
item_5557,-4.74559,1.27862,-1.22536
item_5558,-0.559039,3.0431,2.1469
item_5559,1.53311,1.79278,-4.42324
item_5560,1.45277,1.85499,-4.93261
item_5561,2.82564,-0.827155,5.19443
item_5562,-4.83185,2.24324,-1.15152
item_5563,0.0113005,1.80292,4.32814
item_5564,3.58282,-0.484091,5.40587
item_5565,2.28744,1.82564,-3.49479
item_5566,3.22443,0.590354,-4.69463
item_5567,-5.57702,0.807003,-2.31483
item_5568,-0.0623311,1.72041,5.081
item_5569,2.93438,0.213154,-3.78092
item_5570,2.93699,1.9056,-4.73804
item_5571,-6.58426,-3.42827,2.20397
item_5572,-3.72046,-5.25775,1.00669
item_5573,0.542171,-1.98322,-4.5168
item_5574,0.227469,1.5335,4.93269
